parish_id,parish_name,municipality_id,party,votes
030206,Aldreu,0302,ADN,5
030208,Alvelos,0302,ADN,13
030209,Arcozelo,0302,ADN,63
030210,Areias,0302,ADN,8
030212,Balugães,0302,ADN,6
030213,Barcelinhos,0302,ADN,4
030215,Barqueiros,0302,ADN,10
030216,Cambeses,0302,ADN,4
030218,Carapeços,0302,ADN,14
030220,Carvalhal,0302,ADN,15
030221,Carvalhas,0302,ADN,3
030224,Cossourado,0302,ADN,8
030228,Cristelo,0302,ADN,13
030234,Fornelos,0302,ADN,7
030235,Fragoso,0302,ADN,15
030237,Gilmonde,0302,ADN,9
030242,Lama,0302,ADN,6
030243,Lijó,0302,ADN,20
030244,Macieira de Rates,0302,ADN,21
030245,Manhente,0302,ADN,10
030247,Martim,0302,ADN,15
030252,Moure,0302,ADN,8
030254,Oliveira,0302,ADN,9
030255,Palme,0302,ADN,8
030256,Panque,0302,ADN,3
030257,Paradela,0302,ADN,6
030259,Pereira,0302,ADN,8
030260,Perelhal,0302,ADN,13
030261,Pousa,0302,ADN,13
030263,Remelhe,0302,ADN,17
030264,Roriz,0302,ADN,23
030265,Rio Covo (Santa Eugénia),0302,ADN,13
030268,Galegos (Santa Maria),0302,ADN,11
030272,Galegos (São Martinho),0302,ADN,19
030277,Tamel (São Veríssimo),0302,ADN,16
030279,Silva,0302,ADN,9
030282,Ucha,0302,ADN,17
030283,Várzea,0302,ADN,11
030287,Vila Seca,0302,ADN,9
030290,Alheira e Igreja Nova,0302,ADN,10
030291,Alvito (São Pedro e São Martinho) e Couto,0302,ADN,13
030292,Areias de Vilar e Encourados,0302,ADN,23
030293,"Barcelos, Vila Boa e Vila Frescainha",0302,ADN,59
030294,Campo e Tamel (São Pedro Fins),0302,ADN,14
030295,Carreira e Fonte Coberta,0302,ADN,9
030296,"Chorente, Góios, Courel, Pedra Furada e Gueral",0302,ADN,23
030297,Creixomil e Mariz,0302,ADN,7
030298,Durrães e Tregosa,0302,ADN,17
030299,Gamil e Midões,0302,ADN,13
000302,"Milhazes, Vilar de Figos e Faria",0003,ADN,13
000302,Negreiros e Chavão,0003,ADN,28
000302,Quintiães e Aguiar,0003,ADN,10
000302,Sequeade e Bastuço (São João e Santo Estevão),0003,ADN,12
