parish_id,parish_name,registered_voters,municipality_id
030733,Travassós,1647,0307
030736,Vinhós,681,0307
030737,"Aboim, Felgueiras, Gontim e Pedraído",1070,0307
030738,Agrela e Serafão,1139,0307
030739,Antime e Silvares (São Clemente),1982,0307
030740,"Ardegão, Arnozela e Seidões",1098,0307
030741,Cepães e Fareja,2062,0307
030742,Freitas e Vila Cova,763,0307
030743,Monte e Queimadela,1046,0307
030744,Moreira do Rei e Várzea Cova,1929,0307
030801,Aldão,1258,0308
030804,Azurém,7959,0308
030806,Barco,1369,0308
030807,Brito,4304,0308
030808,Caldelas,5838,0308
030812,Costa,4438,0308
030813,Creixomil,8599,0308
030815,Fermentões,4923,0308
030820,Gonça,862,0308
030821,Gondar,2284,0308
030823,Guardizela,2105,0308
030824,Infantas,1537,0308
030827,Longos,1371,0308
030828,Lordelo,3680,0308
030830,Mesão Frio,4105,0308
030831,Moreira de Cónegos,4226,0308
030832,Nespereira,2335,0308
030835,Pencelo,1116,0308
030836,Pinheiro,1054,0308
030837,Polvoreira,3093,0308
030838,Ponte,6127,0308
030840,Ronfe,4103,0308
030842,Prazins (Santa Eufémia),1189,0308
030850,Selho (São Cristóvão),1991,0308
030854,Selho (São Jorge),5259,0308
030857,Candoso (São Martinho),1231,0308
030858,Sande (São Martinho),2369,0308
030865,São Torcato,3113,0308
030866,Serzedelo,3226,0308
030868,Silvares,2056,0308
030871,Urgezes,5025,0308
030875,Abação e Gémeos,2416,0308
030876,"Airão Santa Maria, Airão São João e Vermil",3178,0308
030877,Arosa e Castelões,677,0308
030878,Atães e Rendufe,2401,0308
030879,Briteiros Santo Estêvão e Donim,2029,0308
030880,Briteiros São Salvador e Briteiros Santa Leocádia,1709,0308
030881,Candoso São Tiago e Mascotelos,3279,0308
030882,Conde e Gandarela,2144,0308
030883,"Leitões, Oleiros e Figueiredo",1300,0308
030884,"Oliveira, São Paio e São Sebastião",6888,0308
030885,Prazins Santo Tirso e Corvite,1837,0308
030886,Sande São Lourenço e Balazar,1665,0308
030887,Sande Vila Nova e Sande São Clemente,3193,0308
030888,Selho São Lourenço e Gominhães,1998,0308
030889,Serzedo e Calvos,2078,0308
030890,"Souto Santa Maria, Souto São Salvador e Gondomar",2170,0308
030891,Tabuadelo e São Faustino,2328,0308
030906,Covelas,405,0309
030908,Ferreiros,355,0309
030912,Galegos,582,0309
030913,Garfe,1120,0309
030914,Geraz do Minho,548,0309
030915,Lanhoso,746,0309
030917,Monsul,713,0309
030919,Póvoa de Lanhoso (Nossa Senhora do Amparo),5328,0309
030921,Rendufinho,679,0309
030922,Santo Emilião,861,0309
030923,São João de Rei,414,0309
030924,Serzedelo,711,0309
030925,Sobradelo da Goma,716,0309
030926,Taíde,1824,0309
030927,Travassos,636,0309
030929,Vilela,625,0309
030930,Águas Santas e Moure,599,0309
030931,Calvos e Frades,741,0309
030932,Campos e Louredo,1477,0309
030933,Esperança e Brunhais,619,0309
030934,Fonte Arcada e Oliveira,1673,0309
030935,"Verim, Friande e Ajude",662,0309
031001,Balança,310,0310
031003,Campo do Gerês,170,0310
031004,Carvalheira,318,0310
031008,Covide,301,0310
031009,Gondoriz,279,0310
031010,Moimenta,729,0310
031012,Ribeira,216,0310
031013,Rio Caldo,780,0310
031014,Souto,477,0310
031015,Valdosende,531,0310
031017,Vilar da Veiga,1080,0310
031018,Chamoim e Vilar,388,0310
031019,Chorense e Monte,509,0310
031020,Cibões e Brufe,324,0310
031105,Cantelães,662,0311
031107,Eira Vedra,634,0311
031108,Guilhofrei,941,0311
031109,Louredo,411,0311
031110,Mosteiro,670,0311
031111,Parada de Bouro,434,0311
031112,Pinheiro,393,0311
031113,Rossas,1564,0311
031115,Salamonde,360,0311
031118,Tabuaças,881,0311
031120,Vieira do Minho,2296,0311
031122,Anissó e Soutelo,354,0311
031123,Anjos e Vilar do Chão,548,0311
031124,Caniçada e Soengas,551,0311
031125,Ruivães e Campos,734,0311
031126,Ventosa e Cova,602,0311
031204,Bairro,3025,0312
031206,Brufe,2039,0312
031210,Castelões,1798,0312
031212,Cruz,1520,0312
031213,Delães,3615,0312
031215,Fradelos,3511,0312
031216,Gavião,3520,0312
031219,Joane,7167,0312
031221,Landim,2602,0312
031223,Louro,1995,0312
031224,Lousado,3525,0312
031225,Mogege,1779,0312
031227,Nine,2909,0312
031230,Pedome,1873,0312
031232,Pousada de Saramagos,2061,0312
031233,Requião,2826,0312
031234,Riba de Ave,3074,0312
031235,Ribeirão,8223,0312
031239,Oliveira (Santa Maria),3150,0312
031241,Vale (São Martinho),1841,0312
031242,Oliveira (São Mateus),2250,0312
031247,Vermoim,2702,0312
031249,Vilarinho das Cambas,1186,0312
031250,Antas e Abade de Vermoim,6625,0312
031251,Arnoso (Santa Maria e Santa Eulália) e Sezures,3231,0312
031252,Avidos e Lagoa,2285,0312
031253,Carreira e Bente,2282,0312
031254,Esmeriz e Cabeçudos,3282,0312
031255,"Gondifelos, Cavalões e Outiz",4747,0312
031256,"Lemenhe, Mouquim e Jesufrei",2829,0312
031257,Ruivães e Novais,2764,0312
031258,Seide,1430,0312
031259,"Vale (São Cosme), Telhado e Portela",4869,0312
031260,Vila Nova de Famalicão e Calendário,18722,0312
031304,Atiães,482,0313
031308,Cabanelas,1884,0313
031309,Cervães,1862,0313
031311,Coucieiro,523,0313
031313,Dossãos,426,0313
031316,Freiriz,1016,0313
031317,Gême,467,0313
031323,Lage,2785,0313
031324,Lanhas,612,0313
031325,Loureira,1095,0313
031328,Moure,1402,0313
031330,Oleiros,1220,0313
031331,Parada de Gatim,735,0313
031335,Pico,520,0313
031337,Ponte,464,0313
031340,Sabariz,458,0313
031342,Vila de Prado,4277,0313
031350,Prado (São Miguel),666,0313
031352,Soutelo,2111,0313
031354,Turiz,1822,0313
031355,Valdreu,461,0313
031359,Aboim da Nóbrega e Gondomar,904,0313
031360,Ribeira do Neiva,3411,0313
031361,Carreiras (São Miguel) e Carreiras (Santiago),898,0313
031362,Escariz (São Mamede) e Escariz (São Martinho),725,0313
031363,"Esqueiros, Nevogilde e Travassós",871,0313
031364,Marrancos e Arcozelo,876,0313
031365,Oriz (Santa Marinha) e Oriz (São Miguel),534,0313
031366,"Pico de Regalados, Gondiães e Mós",1408,0313
031367,"Sande, Vilarinho, Barros e Gomide",1272,0313
031368,"Valbom (São Pedro), Passô e Valbom (São Martinho)",564,0313
031369,Vade,1623,0313
031370,Vila Verde e Barbudo,6784,0313
031401,Santa Eulália,4865,0314
031404,Infias,1667,0314
031406,Vizela (Santo Adrião),2148,0314
031408,Caldas de Vizela (São Miguel e São João),10219,0314
031409,Tagilde e Vizela (São Paio),3010,0314
040102,Alfândega da Fé,1971,0401
040103,Cerejais,179,0401
040111,Sambade,482,0401
040118,Vilar Chão,259,0401
040119,Vilarelhos,259,0401
040120,Vilares de Vilariça,219,0401
040121,"Agrobom, Saldonha e Vale Pereiro",304,0401
040122,"Eucisia, Gouveia e Valverde",362,0401
040123,Ferradosa e Sendim da Serra,223,0401
040124,Gebelim e Soeima,353,0401
040125,Parada e Sendim da Ribeira,199,0401
040126,Pombal e Vales,181,0401
040201,Alfaião,173,0402
040203,Babe,256,0402
040204,Baçal,512,0402
040206,Carragosa,209,0402
040209,Castro de Avelãs,348,0402
040210,Coelhoso,423,0402
040212,Donai,480,0402
040213,Espinhosela,256,0402
040215,França,263,0402
040216,Gimonde,400,0402
040217,Gondesende,176,0402
040218,Gostei,422,0402
040219,Grijó de Parada,317,0402
040221,Macedo do Mato,241,0402
040224,Mós,240,0402
040225,Nogueira,478,0402
040226,Outeiro,260,0402
040229,Parâmio,211,0402
040230,Pinela,306,0402
040232,Quintanilha,229,0402
040233,Quintela de Lampaças,254,0402
040234,Rabal,243,0402
040236,Rebordãos,546,0402
040239,Salsas,385,0402
040240,Samil,1220,0402
040241,Santa Comba de Rossas,304,0402
040244,São Pedro de Sarracenos,347,0402
040246,Sendas,196,0402
040247,Serapicos,283,0402
