parish_id,municipality_id,municipio,distrito_ilha,upper_district
020812,0208,Ferreira do Alentejo,Beja,Alentejo
020901,0209,Mértola,Beja,Alentejo
020902,0209,Mértola,Beja,Alentejo
020903,0209,Mértola,Beja,Alentejo
020904,0209,Mértola,Beja,Alentejo
020905,0209,Mértola,Beja,Alentejo
020906,0209,Mértola,Beja,Alentejo
020910,0209,Mértola,Beja,Alentejo
021001,0210,Moura,Beja,Alentejo
021002,0210,Moura,Beja,Alentejo
021008,0210,Moura,Beja,Alentejo
021009,0210,Moura,Beja,Alentejo
021011,0210,Moura,Beja,Alentejo
021012,0210,Moura,Beja,Alentejo
021102,0211,Odemira,Beja,Alentejo
021103,0211,Odemira,Beja,Alentejo
021106,0211,Odemira,Beja,Alentejo
021107,0211,Odemira,Beja,Alentejo
021111,0211,Odemira,Beja,Alentejo
021115,0211,Odemira,Beja,Alentejo
021116,0211,Odemira,Beja,Alentejo
021117,0211,Odemira,Beja,Alentejo
021119,0211,Odemira,Beja,Alentejo
021120,0211,Odemira,Beja,Alentejo
021121,0211,Odemira,Beja,Alentejo
021123,0211,Odemira,Beja,Alentejo
021124,0211,Odemira,Beja,Alentejo
021125,0211,Odemira,Beja,Alentejo
021203,0212,Ourique,Beja,Alentejo
021206,0212,Ourique,Beja,Alentejo
021208,0212,Ourique,Beja,Alentejo
021209,0212,Ourique,Beja,Alentejo
021210,0212,Ourique,Beja,Alentejo
021302,0213,Serpa,Beja,Alentejo
021303,0213,Serpa,Beja,Alentejo
021307,0213,Serpa,Beja,Alentejo
021308,0213,Serpa,Beja,Alentejo
021310,0213,Serpa,Beja,Alentejo
021311,0213,Serpa,Beja,Alentejo
021401,0214,Vidigueira,Beja,Alentejo
021402,0214,Vidigueira,Beja,Alentejo
021403,0214,Vidigueira,Beja,Alentejo
021404,0214,Vidigueira,Beja,Alentejo
030102,0301,Amares,Braga,Braga
030104,0301,Amares,Braga,Braga
030105,0301,Amares,Braga,Braga
030107,0301,Amares,Braga,Braga
030108,0301,Amares,Braga,Braga
030111,0301,Amares,Braga,Braga
030112,0301,Amares,Braga,Braga
030113,0301,Amares,Braga,Braga
030118,0301,Amares,Braga,Braga
030119,0301,Amares,Braga,Braga
030120,0301,Amares,Braga,Braga
030125,0301,Amares,Braga,Braga
030126,0301,Amares,Braga,Braga
030127,0301,Amares,Braga,Braga
030128,0301,Amares,Braga,Braga
030129,0301,Amares,Braga,Braga
030201,0302,Barcelos,Braga,Braga
030202,0302,Barcelos,Braga,Braga
030203,0302,Barcelos,Braga,Braga
030205,0302,Barcelos,Braga,Braga
030206,0302,Barcelos,Braga,Braga
030208,0302,Barcelos,Braga,Braga
030209,0302,Barcelos,Braga,Braga
030210,0302,Barcelos,Braga,Braga
030212,0302,Barcelos,Braga,Braga
030213,0302,Barcelos,Braga,Braga
030215,0302,Barcelos,Braga,Braga
030216,0302,Barcelos,Braga,Braga
030218,0302,Barcelos,Braga,Braga
030220,0302,Barcelos,Braga,Braga
030221,0302,Barcelos,Braga,Braga
030224,0302,Barcelos,Braga,Braga
030228,0302,Barcelos,Braga,Braga
030234,0302,Barcelos,Braga,Braga
030235,0302,Barcelos,Braga,Braga
030237,0302,Barcelos,Braga,Braga
030242,0302,Barcelos,Braga,Braga
030243,0302,Barcelos,Braga,Braga
030244,0302,Barcelos,Braga,Braga
030245,0302,Barcelos,Braga,Braga
030247,0302,Barcelos,Braga,Braga
030252,0302,Barcelos,Braga,Braga
030254,0302,Barcelos,Braga,Braga
030255,0302,Barcelos,Braga,Braga
030256,0302,Barcelos,Braga,Braga
030257,0302,Barcelos,Braga,Braga
030259,0302,Barcelos,Braga,Braga
030260,0302,Barcelos,Braga,Braga
030261,0302,Barcelos,Braga,Braga
030263,0302,Barcelos,Braga,Braga
030264,0302,Barcelos,Braga,Braga
030265,0302,Barcelos,Braga,Braga
030268,0302,Barcelos,Braga,Braga
030272,0302,Barcelos,Braga,Braga
030277,0302,Barcelos,Braga,Braga
030279,0302,Barcelos,Braga,Braga
030282,0302,Barcelos,Braga,Braga
030283,0302,Barcelos,Braga,Braga
030287,0302,Barcelos,Braga,Braga
030290,0302,Barcelos,Braga,Braga
030291,0302,Barcelos,Braga,Braga
030292,0302,Barcelos,Braga,Braga
030294,0302,Barcelos,Braga,Braga
030295,0302,Barcelos,Braga,Braga
030296,0302,Barcelos,Braga,Braga
030297,0302,Barcelos,Braga,Braga
030298,0302,Barcelos,Braga,Braga
030299,0302,Barcelos,Braga,Braga
0302FA,0302,Barcelos,Braga,Braga
0302FB,0302,Barcelos,Braga,Braga
0302FC,0302,Barcelos,Braga,Braga
0302FD,0302,Barcelos,Braga,Braga
0302FF,0302,Barcelos,Braga,Braga
0302FG,0302,Barcelos,Braga,Braga
0302FH,0302,Barcelos,Braga,Braga
0302FI,0302,Barcelos,Braga,Braga
0302FJ,0302,Barcelos,Braga,Braga
0302FK,0302,Barcelos,Braga,Braga
0302FL,0302,Barcelos,Braga,Braga
0302FM,0302,Barcelos,Braga,Braga
0302FN,0302,Barcelos,Braga,Braga
030301,0303,Braga,Braga,Braga
030312,0303,Braga,Braga,Braga
030313,0303,Braga,Braga,Braga
030315,0303,Braga,Braga,Braga
030319,0303,Braga,Braga,Braga
030322,0303,Braga,Braga,Braga
030325,0303,Braga,Braga,Braga
030330,0303,Braga,Braga,Braga
030331,0303,Braga,Braga,Braga
030334,0303,Braga,Braga,Braga
030336,0303,Braga,Braga,Braga
030338,0303,Braga,Braga,Braga
030349,0303,Braga,Braga,Braga
030351,0303,Braga,Braga,Braga
030354,0303,Braga,Braga,Braga
030355,0303,Braga,Braga,Braga
030356,0303,Braga,Braga,Braga
030357,0303,Braga,Braga,Braga
030363,0303,Braga,Braga,Braga
030364,0303,Braga,Braga,Braga
030365,0303,Braga,Braga,Braga
030366,0303,Braga,Braga,Braga
030367,0303,Braga,Braga,Braga
030368,0303,Braga,Braga,Braga
030369,0303,Braga,Braga,Braga
030370,0303,Braga,Braga,Braga
030371,0303,Braga,Braga,Braga
030372,0303,Braga,Braga,Braga
030373,0303,Braga,Braga,Braga
030374,0303,Braga,Braga,Braga
030375,0303,Braga,Braga,Braga
030376,0303,Braga,Braga,Braga
030377,0303,Braga,Braga,Braga
030378,0303,Braga,Braga,Braga
030379,0303,Braga,Braga,Braga
030380,0303,Braga,Braga,Braga
030381,0303,Braga,Braga,Braga
030401,0304,Cabeceiras de Basto,Braga,Braga
030404,0304,Cabeceiras de Basto,Braga,Braga
030405,0304,Cabeceiras de Basto,Braga,Braga
030406,0304,Cabeceiras de Basto,Braga,Braga
030407,0304,Cabeceiras de Basto,Braga,Braga
030408,0304,Cabeceiras de Basto,Braga,Braga
030413,0304,Cabeceiras de Basto,Braga,Braga
030415,0304,Cabeceiras de Basto,Braga,Braga
030418,0304,Cabeceiras de Basto,Braga,Braga
030419,0304,Cabeceiras de Basto,Braga,Braga
030420,0304,Cabeceiras de Basto,Braga,Braga
030422,0304,Cabeceiras de Basto,Braga,Braga
030423,0304,Cabeceiras de Basto,Braga,Braga
030424,0304,Cabeceiras de Basto,Braga,Braga
030501,0305,Celorico de Basto,Braga,Braga
030502,0305,Celorico de Basto,Braga,Braga
030503,0305,Celorico de Basto,Braga,Braga
030508,0305,Celorico de Basto,Braga,Braga
030510,0305,Celorico de Basto,Braga,Braga
030515,0305,Celorico de Basto,Braga,Braga
030517,0305,Celorico de Basto,Braga,Braga
030518,0305,Celorico de Basto,Braga,Braga
030520,0305,Celorico de Basto,Braga,Braga
030521,0305,Celorico de Basto,Braga,Braga
030523,0305,Celorico de Basto,Braga,Braga
030524,0305,Celorico de Basto,Braga,Braga
030525,0305,Celorico de Basto,Braga,Braga
030526,0305,Celorico de Basto,Braga,Braga
030527,0305,Celorico de Basto,Braga,Braga
030601,0306,Esposende,Braga,Braga
030608,0306,Esposende,Braga,Braga
030610,0306,Esposende,Braga,Braga
030615,0306,Esposende,Braga,Braga
030619,0306,Esposende,Braga,Braga
030621,0306,Esposende,Braga,Braga
030622,0306,Esposende,Braga,Braga
030623,0306,Esposende,Braga,Braga
030624,0306,Esposende,Braga,Braga
030625,0306,Esposende,Braga,Braga
030626,0306,Esposende,Braga,Braga
030627,0306,Esposende,Braga,Braga
030628,0306,Esposende,Braga,Braga
030629,0306,Esposende,Braga,Braga
030705,0307,Fafe,Braga,Braga
030708,0307,Fafe,Braga,Braga
030709,0307,Fafe,Braga,Braga
030712,0307,Fafe,Braga,Braga
030714,0307,Fafe,Braga,Braga
030716,0307,Fafe,Braga,Braga
030719,0307,Fafe,Braga,Braga
030722,0307,Fafe,Braga,Braga
030723,0307,Fafe,Braga,Braga
030724,0307,Fafe,Braga,Braga
030725,0307,Fafe,Braga,Braga
030726,0307,Fafe,Braga,Braga
030728,0307,Fafe,Braga,Braga
030729,0307,Fafe,Braga,Braga
030730,0307,Fafe,Braga,Braga
030733,0307,Fafe,Braga,Braga
030736,0307,Fafe,Braga,Braga
030737,0307,Fafe,Braga,Braga
030738,0307,Fafe,Braga,Braga
030739,0307,Fafe,Braga,Braga
030740,0307,Fafe,Braga,Braga
030741,0307,Fafe,Braga,Braga
030742,0307,Fafe,Braga,Braga
030743,0307,Fafe,Braga,Braga
030744,0307,Fafe,Braga,Braga
030801,0308,Guimarães,Braga,Braga
030804,0308,Guimarães,Braga,Braga
030806,0308,Guimarães,Braga,Braga
030807,0308,Guimarães,Braga,Braga
030808,0308,Guimarães,Braga,Braga
030812,0308,Guimarães,Braga,Braga
030813,0308,Guimarães,Braga,Braga
030815,0308,Guimarães,Braga,Braga
030820,0308,Guimarães,Braga,Braga
030821,0308,Guimarães,Braga,Braga
030823,0308,Guimarães,Braga,Braga
030824,0308,Guimarães,Braga,Braga
030827,0308,Guimarães,Braga,Braga
030828,0308,Guimarães,Braga,Braga
030830,0308,Guimarães,Braga,Braga
030831,0308,Guimarães,Braga,Braga
030832,0308,Guimarães,Braga,Braga
030835,0308,Guimarães,Braga,Braga
030836,0308,Guimarães,Braga,Braga
030837,0308,Guimarães,Braga,Braga
030838,0308,Guimarães,Braga,Braga
030840,0308,Guimarães,Braga,Braga
030842,0308,Guimarães,Braga,Braga
030850,0308,Guimarães,Braga,Braga
030854,0308,Guimarães,Braga,Braga
030857,0308,Guimarães,Braga,Braga
030858,0308,Guimarães,Braga,Braga
030865,0308,Guimarães,Braga,Braga
030866,0308,Guimarães,Braga,Braga
030868,0308,Guimarães,Braga,Braga
030871,0308,Guimarães,Braga,Braga
030875,0308,Guimarães,Braga,Braga
030877,0308,Guimarães,Braga,Braga
030878,0308,Guimarães,Braga,Braga
030879,0308,Guimarães,Braga,Braga
030880,0308,Guimarães,Braga,Braga
030881,0308,Guimarães,Braga,Braga
030883,0308,Guimarães,Braga,Braga
030884,0308,Guimarães,Braga,Braga
030886,0308,Guimarães,Braga,Braga
030888,0308,Guimarães,Braga,Braga
030890,0308,Guimarães,Braga,Braga
030892,0308,Guimarães,Braga,Braga
030893,0308,Guimarães,Braga,Braga
030894,0308,Guimarães,Braga,Braga
030895,0308,Guimarães,Braga,Braga
030896,0308,Guimarães,Braga,Braga
030897,0308,Guimarães,Braga,Braga
030898,0308,Guimarães,Braga,Braga
030899,0308,Guimarães,Braga,Braga
0308FA,0308,Guimarães,Braga,Braga
0308FB,0308,Guimarães,Braga,Braga
0308FC,0308,Guimarães,Braga,Braga
0308FD,0308,Guimarães,Braga,Braga
0308FE,0308,Guimarães,Braga,Braga
030906,0309,Póvoa de Lanhoso,Braga,Braga
030908,0309,Póvoa de Lanhoso,Braga,Braga
030912,0309,Póvoa de Lanhoso,Braga,Braga
030913,0309,Póvoa de Lanhoso,Braga,Braga
030914,0309,Póvoa de Lanhoso,Braga,Braga
030915,0309,Póvoa de Lanhoso,Braga,Braga
030917,0309,Póvoa de Lanhoso,Braga,Braga
030919,0309,Póvoa de Lanhoso,Braga,Braga
030921,0309,Póvoa de Lanhoso,Braga,Braga
030922,0309,Póvoa de Lanhoso,Braga,Braga
030923,0309,Póvoa de Lanhoso,Braga,Braga
030924,0309,Póvoa de Lanhoso,Braga,Braga
030925,0309,Póvoa de Lanhoso,Braga,Braga
030926,0309,Póvoa de Lanhoso,Braga,Braga
030927,0309,Póvoa de Lanhoso,Braga,Braga
030929,0309,Póvoa de Lanhoso,Braga,Braga
030930,0309,Póvoa de Lanhoso,Braga,Braga
030931,0309,Póvoa de Lanhoso,Braga,Braga
030932,0309,Póvoa de Lanhoso,Braga,Braga
030933,0309,Póvoa de Lanhoso,Braga,Braga
030934,0309,Póvoa de Lanhoso,Braga,Braga
030935,0309,Póvoa de Lanhoso,Braga,Braga
031001,0310,Terras de Bouro,Braga,Braga
031003,0310,Terras de Bouro,Braga,Braga
031004,0310,Terras de Bouro,Braga,Braga
031008,0310,Terras de Bouro,Braga,Braga
031009,0310,Terras de Bouro,Braga,Braga
031010,0310,Terras de Bouro,Braga,Braga
031012,0310,Terras de Bouro,Braga,Braga
031013,0310,Terras de Bouro,Braga,Braga
031014,0310,Terras de Bouro,Braga,Braga
031015,0310,Terras de Bouro,Braga,Braga
031017,0310,Terras de Bouro,Braga,Braga
031018,0310,Terras de Bouro,Braga,Braga
031019,0310,Terras de Bouro,Braga,Braga
031020,0310,Terras de Bouro,Braga,Braga
031105,0311,Vieira do Minho,Braga,Braga
031107,0311,Vieira do Minho,Braga,Braga
031108,0311,Vieira do Minho,Braga,Braga
031109,0311,Vieira do Minho,Braga,Braga
031110,0311,Vieira do Minho,Braga,Braga
031111,0311,Vieira do Minho,Braga,Braga
031112,0311,Vieira do Minho,Braga,Braga
031113,0311,Vieira do Minho,Braga,Braga
031115,0311,Vieira do Minho,Braga,Braga
031118,0311,Vieira do Minho,Braga,Braga
031120,0311,Vieira do Minho,Braga,Braga
031122,0311,Vieira do Minho,Braga,Braga
031123,0311,Vieira do Minho,Braga,Braga
031124,0311,Vieira do Minho,Braga,Braga
031125,0311,Vieira do Minho,Braga,Braga
031126,0311,Vieira do Minho,Braga,Braga
031204,0312,Vila Nova de Famalicão,Braga,Braga
031206,0312,Vila Nova de Famalicão,Braga,Braga
031210,0312,Vila Nova de Famalicão,Braga,Braga
031212,0312,Vila Nova de Famalicão,Braga,Braga
031213,0312,Vila Nova de Famalicão,Braga,Braga
031215,0312,Vila Nova de Famalicão,Braga,Braga
031216,0312,Vila Nova de Famalicão,Braga,Braga
031219,0312,Vila Nova de Famalicão,Braga,Braga
